kode_desa,bundle_id,bundle_bcs,bundle_size,bundle_exit,bundle_kabupaten,bundle_kecamatan,bundle_tech_dom,bundle_interv_type,bundle_pop_2026,bundle_hh_2026,bundle_capex_mid
81.04.02.2007,1,0.7969,3,blended_finance,Buru,Air Buaya,micro_hydro,retrofit,5279,1331,2026516
81.04.02.2008,1,0.7969,3,blended_finance,Buru,Air Buaya,micro_hydro,retrofit,5279,1331,2026516
81.04.02.2019,1,0.7969,3,blended_finance,Buru,Air Buaya,micro_hydro,retrofit,5279,1331,2026516
81.04.10.2006,2,1.0,1,public_good,Buru,Batabual,solar_biomass_hybrid,retrofit,2241,564,625963
81.04.13.2004,3,0.8405,9,blended_finance,Buru,Fena Leisela,micro_hydro,retrofit,6128,1764,2511953
81.04.13.2005,3,0.8405,9,blended_finance,Buru,Fena Leisela,micro_hydro,retrofit,6128,1764,2511953
81.04.13.2006,3,0.8405,9,blended_finance,Buru,Fena Leisela,micro_hydro,retrofit,6128,1764,2511953
81.04.13.2007,3,0.8405,9,blended_finance,Buru,Fena Leisela,micro_hydro,retrofit,6128,1764,2511953
81.04.13.2008,3,0.8405,9,blended_finance,Buru,Fena Leisela,micro_hydro,retrofit,6128,1764,2511953
81.04.13.2009,3,0.8405,9,blended_finance,Buru,Fena Leisela,micro_hydro,retrofit,6128,1764,2511953
81.04.13.2011,3,0.8405,9,blended_finance,Buru,Fena Leisela,micro_hydro,retrofit,6128,1764,2511953
81.04.13.2012,3,0.8405,9,blended_finance,Buru,Fena Leisela,micro_hydro,retrofit,6128,1764,2511953
81.04.13.2013,3,0.8405,9,blended_finance,Buru,Fena Leisela,micro_hydro,retrofit,6128,1764,2511953
81.04.14.2005,4,1.0,1,public_good,Buru,Teluk Kaiely,solar_biomass_hybrid,retrofit,1168,320,307780
81.04.06.2004,5,0.7629,7,blended_finance,Buru,Waplau,solar_biomass_hybrid,retrofit,8590,2340,2291690
81.04.06.2005,5,0.7629,7,blended_finance,Buru,Waplau,solar_biomass_hybrid,retrofit,8590,2340,2291690
81.04.06.2006,5,0.7629,7,blended_finance,Buru,Waplau,solar_biomass_hybrid,retrofit,8590,2340,2291690
81.04.06.2007,5,0.7629,7,blended_finance,Buru,Waplau,solar_biomass_hybrid,retrofit,8590,2340,2291690
81.04.06.2008,5,0.7629,7,blended_finance,Buru,Waplau,solar_biomass_hybrid,retrofit,8590,2340,2291690
81.04.06.2009,5,0.7629,7,blended_finance,Buru,Waplau,solar_biomass_hybrid,retrofit,8590,2340,2291690
81.04.06.2010,5,0.7629,7,blended_finance,Buru,Waplau,solar_biomass_hybrid,retrofit,8590,2340,2291690
81.09.03.2003,6,1.0,1,public_good,Buru Selatan,Ambalau,solar_biomass_hybrid,retrofit,1359,353,360515
81.09.06.2001,7,0.9057,10,blended_finance,Buru Selatan,Fena Fafan,micro_hydro,retrofit,5045,1116,1532040
81.09.06.2002,7,0.9057,10,blended_finance,Buru Selatan,Fena Fafan,micro_hydro,retrofit,5045,1116,1532040
81.09.06.2003,7,0.9057,10,blended_finance,Buru Selatan,Fena Fafan,micro_hydro,retrofit,5045,1116,1532040
81.09.06.2004,7,0.9057,10,blended_finance,Buru Selatan,Fena Fafan,micro_hydro,retrofit,5045,1116,1532040
81.09.06.2005,7,0.9057,10,blended_finance,Buru Selatan,Fena Fafan,micro_hydro,retrofit,5045,1116,1532040
81.09.06.2006,7,0.9057,10,blended_finance,Buru Selatan,Fena Fafan,micro_hydro,retrofit,5045,1116,1532040
81.09.06.2007,7,0.9057,10,blended_finance,Buru Selatan,Fena Fafan,micro_hydro,retrofit,5045,1116,1532040
81.09.06.2008,7,0.9057,10,blended_finance,Buru Selatan,Fena Fafan,micro_hydro,retrofit,5045,1116,1532040
81.09.06.2009,7,0.9057,10,blended_finance,Buru Selatan,Fena Fafan,micro_hydro,retrofit,5045,1116,1532040
81.09.06.2010,7,0.9057,10,blended_finance,Buru Selatan,Fena Fafan,micro_hydro,retrofit,5045,1116,1532040
81.09.04.2005,8,0.7252,2,public_good,Buru Selatan,Kepala Madan,solar_battery,retrofit,3985,1015,728814
81.09.04.2010,8,0.7252,2,public_good,Buru Selatan,Kepala Madan,solar_battery,retrofit,3985,1015,728814
81.09.04.2001,9,0.8409,5,blended_finance,Buru Selatan,Kepala Madan,solar_biomass_hybrid,retrofit,4685,1110,1190024
81.09.04.2003,9,0.8409,5,blended_finance,Buru Selatan,Kepala Madan,solar_biomass_hybrid,retrofit,4685,1110,1190024
81.09.04.2004,9,0.8409,5,blended_finance,Buru Selatan,Kepala Madan,solar_biomass_hybrid,retrofit,4685,1110,1190024
81.09.04.2012,9,0.8409,5,blended_finance,Buru Selatan,Kepala Madan,solar_biomass_hybrid,retrofit,4685,1110,1190024
81.09.04.2013,9,0.8409,5,blended_finance,Buru Selatan,Kepala Madan,solar_biomass_hybrid,retrofit,4685,1110,1190024
81.09.04.2002,10,0.8333,8,blended_finance,Buru Selatan,Kepala Madan,micro_hydro,retrofit,6469,1592,2303792
81.09.04.2006,10,0.8333,8,blended_finance,Buru Selatan,Kepala Madan,micro_hydro,retrofit,6469,1592,2303792
81.09.04.2007,10,0.8333,8,blended_finance,Buru Selatan,Kepala Madan,micro_hydro,retrofit,6469,1592,2303792
